address,latitude,longitude
부산광역시 연제구 월드컵대로92번길 1(연산동) 1층 | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 연제구 중앙천로 64 1층 | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 연제구 과정로 141(연산동) 1층 | 영업시간 : 07:00 ~ 01:00,0,0
부산광역시 연제구 과정로208번길 9  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 연제구 마곡천로 54  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 연제구 월드컵대로188번길 12(거제동) 1층 | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 부산진구 동평로235번길 33  | 영업시간 : 07:00 ~ 01:00,0,0
부산광역시 영도구 봉래나루로 82 로비층 | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 영도구 동삼로 105  | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 영도구 동삼로 55-1  | 영업시간 : 08:00 ~ 22:00,0,0
부산광역시 해운대구 아랫반송로59번길 53  | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 남구 전포대로 133 172호 | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 동래구 중앙대로1473번길 24  | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 동래구 중앙대로1493번길 16  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 동래구 온천천로 471  | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 금정구 오시게로54번길 2  | 영업시간 : 07:00 ~ 01:00,0,0
부산광역시 동래구 여고북로123번길 28  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 남구 동명로131번길 55  | 영업시간 : 00:00 ~ 00:00,0,0
"부산광역시 남구 분포로 113(용호동, 엘지메트로시티) 1005동112-1호 | 영업시간 : 06:00 ~ 01:00",0,0
부산광역시 남구 용호로216번가길 40 103호 | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 북구 효열로 1 근린생활동 102호 | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 남구 수영로 164(대연동) 인창대연병원 1층 | 영업시간 : 07:00 ~ 23:00,0,0
부산광역시 기장군 일광면 해송1로 33 상가동 205호 | 영업시간 : 07:00 ~ 01:00,0,0
부산광역시 기장군 일광면 해빛2로 24 상가동 101-102호 | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 기장군 일광면 해빛6로 99  | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 기장군 일광면 해빛6로 61-13  | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 기장군 일광면 해송4로 21  | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 기장군 일광면 일역길 86-1  | 영업시간 : 07:00 ~ 00:00,0,0
부산광역시 해운대구 해운대로781번길 16  | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 기장군 장안읍 장안산단7로 10  | 영업시간 : 05:30 ~ 22:30,0,0
부산광역시 금정구 중앙대로1719번길 23 101호 | 영업시간 : 07:00 ~ 00:00,0,0
부산광역시 금정구 수림로75번길 2  | 영업시간 : 07:00 ~ 23:00,0,0
부산광역시 해운대구 해운대로177번길 34  | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 해운대구 재송2로28번길 39  | 영업시간 : 07:00 ~ 23:00,0,0
부산광역시 부산진구 동천로 134  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 부산진구 서전로58번길 22  | 영업시간 : 07:00 ~ 01:00,0,0
부산광역시 부산진구 진남로 354 1층 | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 부산진구 전포대로186  | 영업시간 : 07:00 ~ 01:00,0,0
부산광역시 기장군 정관읍 정관1로 18  | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 기장군 정관읍 정관6로 31  | 영업시간 : 07:00 ~ 23:00,0,0
부산광역시 동구 범일로 119  | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 해운대구 세실로 19  | 영업시간 : 07:00 ~ 01:00,0,0
부산광역시 사상구 가야대로 378  | 영업시간 : 07:00 ~ 01:00,0,0
부산광역시 사상구 가야대로366번길 119  | 영업시간 : 07:00 ~ 02:00,0,0
부산광역시 중구 동영로 101  | 영업시간 : 07:00 ~ 01:00,0,0
부산광역시 동구 중앙대로 313  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 동구 중앙대로179번길 12  | 영업시간 : 07:00 ~ 01:00,0,0
부산광역시 동구 중앙대로286번길 7-8  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 중구 중구로 154(동광동5가)  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 해운대구 해운대해변로357번길 5-1 2층 201호 | 영업시간 : 08:30 ~ 02:30,0,0
부산광역시 연제구 좌수영로 241  | 영업시간 : 09:00 ~ 23:00,0,0
부산광역시 사하구 하신번영로 233 가락타운상가 227동 108~109호 | 영업시간 : 00:00 ~ 00:00,0,0
부산광역시 사하구 낙동대로549번길 53  | 영업시간 : 06:00 ~ 00:00,0,0
부산광역시 사하구 동매로 66  | 영업시간 : 06:00 ~ 00:00,0,0
