index,address,latitude,longitude,cvs
270,부산광역시 해운대구 해운대로349번길 24,0,0,7eleven
271,부산광역시 동래구 충렬대로 218 번길 26,0,0,7eleven
272,부산시 연제구 법원로 32번길 10 ,0,0,7eleven
273,부산광역시 강서구 가락대로 706 ,0,0,7eleven
274,부산광역시 서구 구덕로 272-1 1층,0,0,7eleven
275,부산광역시 서구 원양로 35 국제수산물도매시 장,0,0,7eleven
276,부산광역시 서구 대영로27번길 65 1층 ,0,0,7eleven
277,부산광역시 서구 대영로45번길 50 ,0,0,7eleven
278,부산광역시 금정구 서동로175번길 41-2 제1층,0,0,7eleven
279,부산시 부산진구 중앙대로 738 ,0,0,7eleven
280,부산광역시 부산진구 부전로65번길 3 1층 전부,0,0,7eleven
281,부산광역시 부산진구 신천대로62번길 30 1층,0,0,7eleven
282,부산광역시 부산진구 전포대로 282 101호,0,0,7eleven
283,부산광역시 부산진구 중앙대로 668 104호,0,0,7eleven
284,부산광역시 부산진구 가야대로 783,0,0,7eleven
285,부산시 부산진구 신천대로 62번길 62 ,0,0,7eleven
286,부산광역시 부산진구 전포대로209번길 7 1층 일부,0,0,7eleven
287,부산시 부산진구 서면로 33 ,0,0,7eleven
288,부산광역시 부산진구 서면로 29,0,0,7eleven
289,부산광역시 부산진구 서면문화로 59,0,0,7eleven
290,부산광역시 서구 보수대로 196 ,0,0,7eleven
291,부산광역시 남구 용호로232번길 25-14 ,0,0,7eleven
292,부산시 금정구 온천장로 137 ,0,0,7eleven
293,부산광역시 부산진구 성지로137번길 92 ,0,0,7eleven
294,부산광역시 해운대구 APEC로 17 센텀리더스마크 101호102호,0,0,7eleven
295,부산광역시 수영구 광안해변로 446 제104동 제지하1층 제102호,0,0,7eleven
296,부산광역시 해운대구 센터중앙로 90 ,0,0,7eleven
297,부산광역시 서구 암남공원로 39 301동 108호,0,0,7eleven
298,부산광역시 해운대구 송정해변로 48 ,0,0,7eleven
299,부산광역시 해운대구 송정중앙로 33 ,0,0,7eleven
300,부산광역시 수영구 구락로75번길 3 ,0,0,7eleven
301,부산광역시 수영구 무학로9번길 141 제1동 1층 101호 전체,0,0,7eleven
302,부산광역시 수영구 망미번영로24번길 11 ,0,0,7eleven
303,부산광역시 수영구 망미번영로 52번길 87-3,0,0,7eleven
304,부산광역시 수영구 망미번영로16번길 74 1층,0,0,7eleven
305,부산광역시 수영구 무학로 21 ,0,0,7eleven
306,부산광역시 수영구 광일로56번길 5 한울베스 트빌,0,0,7eleven
307,부산광역시 남구 수영로 305,0,0,7eleven
308,부산광역시 부산진구 부암동 80-60,0,0,7eleven
309,부산광역시 사상구 백양대로 684 데세엠케어 ,0,0,7eleven
310,부산광역시 사상구 백양대로 893 궁전빌딩 3층 307호,0,0,7eleven
311,부산광역시 부산진구 신암로 145 ,0,0,7eleven
312,부산광역시 사상구 백양대로320번길 13 ,0,0,7eleven
313,부산광역시 사하구 신산북로 61 ,0,0,7eleven
314,부산광역시 강서구 신항남로 354 ,0,0,7eleven
315,부산광역시 강서구 신호산단1로 140 ,0,0,7eleven
316,부산광역시 강서구 신호산단4로64번길 11 ,0,0,7eleven
317,부산광역시 강서구 신호산단4로64번길 36 ,0,0,7eleven
318,부산광역시 사하구 사하로 182 ,0,0,7eleven
